benchmark_run,source_seconds,diffusion_steps,n,mean_seconds,median_seconds,sample_std_seconds,min_seconds,max_seconds,p95_seconds,mean_rtf
paper_baseline,1.0,1,3,3.5204471806694833,3.1884702920069685,0.6697896836783163,3.081487917006598,4.291383332994883,4.181092028896091,3.5258839177762584
paper_baseline,1.0,5,3,4.981284861001768,4.989091166004073,0.14720540361382473,4.830331625009421,5.12443179199181,5.110897729393036,4.988977615601789
paper_baseline,1.0,10,3,6.500491000003724,6.5600596250005765,0.1916230556575745,6.286158375005471,6.655255000005127,6.645735462504672,6.510529912340213
paper_baseline,1.0,25,3,10.823406305663715,10.529440792000969,0.7576412413232623,10.256800624993048,11.683977499997127,11.568523829197511,10.840121231826167
paper_baseline,1.0,50,3,18.212696347327437,18.14694474998396,0.19005996169171027,18.06424279199564,18.426901500002714,18.39890582500084,18.240822786090572
paper_baseline,3.0,1,3,5.363640444668515,5.282743709001807,0.47098796465376225,4.938340542008518,5.869837082995218,5.811127745595877,1.7906412276668595
paper_baseline,3.0,5,3,6.287463180657748,6.1987312080018455,0.2462818370333878,6.097842583985766,6.5658157499856316,6.529107295787253,2.099057702481579
paper_baseline,3.0,10,3,8.455913208332882,8.488393207997433,0.2291805614541691,8.212225374998525,8.667121042002691,8.649248258602166,2.8229906468589525
paper_baseline,3.0,25,3,13.971447722011362,14.169721083017066,0.46882539644030735,13.436062250009854,14.308559833007166,14.294675958008156,4.664341422455646
paper_baseline,3.0,50,3,23.071411791674716,23.06148525000026,0.5463743212903422,22.53006837502471,23.622681749999174,23.56656209999928,7.702347232413206
paper_baseline,5.0,1,3,7.442339167008565,7.255720167013351,0.4585685702055821,7.106504000010318,7.9647933340020245,7.893886017303157,1.490766521007802
paper_baseline,5.0,5,3,9.489946125002461,8.990353499990306,0.893088496576131,8.958453458006261,10.521031417010818,10.367963625308766,1.9009203493486941
paper_baseline,5.0,10,3,11.426444666668734,11.276076916998136,0.28765651208802506,11.24513600001228,11.758121082995785,11.70991666639602,2.2888181767809375
paper_baseline,5.0,25,3,18.53196373633303,18.32604524999624,0.8266225731030372,17.827765584006556,19.442080374996294,19.33047686249629,3.712116645949703
paper_baseline,5.0,50,3,28.679636166329146,28.704698125002324,0.09277282383922805,28.57690695799829,28.757303415986826,28.752042886888376,5.744785405773598
paper_baseline,10.0,1,3,12.53513147198828,13.039369749982143,1.009227341104122,11.373150999992504,13.192873665990192,13.177523274389387,1.2539908580018764
