benchmark_run,run_index,repetition,requested_source_seconds,actual_source_seconds,reference_seconds,diffusion_steps,submission_seconds,job_seconds,download_seconds,end_to_end_seconds,output_seconds,real_time_factor,output_bytes,peak_amplitude,rms_amplitude,success,error,started_at_utc
paper_baseline,1,1,1.0,1.0,8.0,10,0.011873958996147849,6.5445987499988405,0.0035869160055881366,6.5600596250005765,0.9984580498866213,6.570190531034825,88108,1.0,0.21594539262979864,true,,2026-09-08T09:45:44.506061+00:00
paper_baseline,2,1,10.0,10.0,8.0,25,0.010990833005052991,26.939118041991605,0.007061333002639003,26.957170207999297,9.996190476190476,2.696744351981637,881708,1.0,0.20960338974303983,true,,2026-09-08T09:45:51.105282+00:00
paper_baseline,3,1,30.0,30.0,8.0,5,0.021791749997646548,38.22179395800049,0.008700833001057617,38.252286540999194,29.98857142857143,1.2755621464700568,2645036,1.0,0.2995515821837048,true,,2026-09-08T09:46:18.108286+00:00
paper_baseline,4,1,1.0,1.0,8.0,1,0.008031999997911043,3.1749288749997504,0.005509417009307072,3.1884702920069685,0.9984580498866213,3.193394346782052,88108,1.0,0.4596041615324517,true,,2026-09-08T09:46:56.434086+00:00
paper_baseline,5,1,20.0,20.0,8.0,25,0.017623542007640935,49.57028216699837,0.006582582995179109,49.59448829200119,19.99238095238095,2.4806694315263553,1763372,1.0,0.22319725325398146,true,,2026-09-08T09:46:59.662062+00:00
paper_baseline,6,1,30.0,30.0,8.0,10,0.015227625000989065,46.50882608399843,0.011100750009063631,46.53515445900848,29.98857142857143,1.5517629630957477,2645036,1.0,0.26581021377439246,true,,2026-09-08T09:47:49.335923+00:00
paper_baseline,7,1,20.0,20.0,8.0,10,0.016137709011672996,33.83604983300029,0.007876874995417893,33.86006441700738,19.99238095238095,1.6936484202485589,1763372,1.0,0.256937657146997,true,,2026-09-08T09:48:35.945687+00:00
paper_baseline,8,1,5.0,5.0,8.0,5,0.011277249999693595,10.506228167010704,0.0035260000004200265,10.521031417010818,4.992290249433107,2.107455875227912,440364,1.0,0.2692508032627704,true,,2026-09-08T09:49:09.848597+00:00
paper_baseline,9,1,30.0,30.0,8.0,50,0.0202402080030879,130.48326549999183,0.06543750000128057,130.5689432079962,29.98857142857143,4.353956757126397,2645036,1.0,0.20662093448830607,true,,2026-09-08T09:49:20.443199+00:00
paper_baseline,10,1,1.0,1.0,8.0,25,0.022057624999433756,11.656522040997515,0.0053978340001776814,11.683977499997127,0.9984580498866213,11.702021433272922,88108,1.0,0.16329460736833587,true,,2026-09-08T09:51:31.230474+00:00
paper_baseline,11,1,30.0,30.0,8.0,1,0.03026008399319835,31.093598791005206,0.009511458993074484,31.13337033399148,29.98857142857143,1.0381745061830239,2645036,1.0,0.46704525610215913,true,,2026-09-08T09:51:42.982557+00:00
paper_baseline,12,1,3.0,3.0,8.0,50,0.01054975000442937,23.60512741599814,0.007004583996604197,23.622681749999174,2.995374149659864,7.88638766635601,264236,1.0,0.17269296623468341,true,,2026-09-08T09:52:14.196647+00:00
paper_baseline,13,1,3.0,3.0,8.0,5,0.011573041992960498,6.182240666006692,0.004917500002193265,6.1987312080018455,2.995374149659864,2.0694347010725638,264236,1.0,0.2497161214242658,true,,2026-09-08T09:52:37.863203+00:00
paper_baseline,14,1,3.0,3.0,8.0,25,0.015518375003011897,14.289309125000727,0.003732333003426902,14.308559833007166,2.995374149659864,4.776885663726502,264236,1.0,0.19854712490821097,true,,2026-09-08T09:52:44.110375+00:00
paper_baseline,15,1,10.0,10.0,8.0,10,0.013591082999482751,19.692032125007245,0.006160166987683624,19.71178337499441,9.996190476190476,1.9719295487561102,881708,1.0,0.2419471040705409,true,,2026-09-08T09:52:58.452363+00:00
paper_baseline,16,1,5.0,5.0,8.0,50,0.013364457990974188,28.7390357080003,0.004903249995550141,28.757303415986826,4.992290249433107,5.760342844499541,440364,1.0,0.1888788389158878,true,,2026-09-08T09:53:18.210977+00:00
paper_baseline,17,1,5.0,5.0,8.0,10,0.009835542005021125,11.261183249996975,0.005058124996139668,11.276076916998136,4.992290249433107,2.258698183319485,440364,1.0,0.24810564909471824,true,,2026-09-08T09:53:47.032939+00:00
paper_baseline,18,1,1.0,1.0,8.0,5,0.00985141699493397,5.111376792003284,0.0032035829935921356,5.12443179199181,0.9984580498866213,5.132345612891506,88108,1.0,0.272122635581865,true,,2026-09-08T09:53:58.360387+00:00
paper_baseline,19,1,20.0,20.0,8.0,1,0.012612457998329774,24.08856437499344,0.008031833000131883,24.1092086659919,19.99238095238095,1.2059198313305781,1763372,1.0,0.4612517073700723,true,,2026-09-08T09:54:03.531465+00:00
paper_baseline,20,1,20.0,20.0,8.0,5,0.013324083993211389,24.910806125000818,0.006112208007834852,24.930242417001864,19.99238095238095,1.2469871635790757,1763372,1.0,0.2737336745816068,true,,2026-09-08T09:54:27.682439+00:00
paper_baseline,21,1,10.0,10.0,8.0,50,0.01642487500794232,45.11311249999562,0.0056592089968035,45.13519658400037,9.996190476190476,4.515239749733269,881708,1.0,0.19255124466683354,true,,2026-09-08T09:54:52.651194+00:00
paper_baseline,22,1,10.0,10.0,8.0,1,0.011963166994974017,11.355639583009179,0.005548249988351017,11.373150999992504,9.996190476190476,1.1377485280099209,881708,1.0,0.4767632122173177,true,,2026-09-08T09:55:37.857417+00:00
paper_baseline,23,1,1.0,1.0,8.0,50,0.012926416005939245,18.41062024999701,0.0033548339997651055,18.426901500002714,0.9984580498866213,18.455358742508167,88108,0.999969482421875,0.15588876394111198,true,,2026-09-08T09:55:49.279691+00:00
paper_baseline,24,1,3.0,3.0,8.0,1,0.01692279099370353,5.848845458996948,0.004068833004566841,5.869837082995218,2.995374149659864,1.9596340188960235,264236,1.0,0.4475098646427552,true,,2026-09-08T09:56:07.750492+00:00
paper_baseline,25,1,3.0,3.0,8.0,10,0.00843212500330992,8.200213832998998,0.0035794169962173328,8.212225374998525,2.995374149659864,2.7416359241569386,264236,1.0,0.22130927283391175,true,,2026-09-08T09:56:13.655776+00:00
paper_baseline,26,1,5.0,5.0,8.0,25,0.012927417003083974,19.424742082992452,0.004410875000758097,19.442080374996294,4.992290249433107,3.8944210780220594,440364,1.0,0.21232830421175378,true,,2026-09-08T09:56:21.921071+00:00
paper_baseline,27,1,20.0,20.0,8.0,50,0.015137624999624677,82.71980429100222,0.00990674999775365,82.7448486659996,19.99238095238095,4.138819126300476,1763372,1.0,0.2143457257950681,true,,2026-09-08T09:56:41.429651+00:00
paper_baseline,28,1,10.0,10.0,8.0,5,0.013735375003307126,16.077198874991154,0.005357165995519608,16.09629141598998,9.996190476190476,1.610242567338937,881708,1.0,0.2704950765768423,true,,2026-09-08T09:58:04.223096+00:00
paper_baseline,29,1,30.0,30.0,8.0,25,0.016724166998756118,82.67534145800164,0.023726667001028545,82.71579229200142,29.98857142857143,2.7582438359566024,2645036,1.0,0.23625474470644084,true,,2026-09-08T09:58:20.365243+00:00
paper_baseline,30,1,5.0,5.0,8.0,1,0.020594375004293397,7.941021833990817,0.003177125006914139,7.9647933340020245,4.992290249433107,1.5954187228810377,440364,1.0,0.4835659578877853,true,,2026-09-08T09:59:43.172697+00:00
paper_baseline,31,2,5.0,5.0,8.0,25,0.009609750006347895,17.813887291995343,0.004268542004865594,17.827765584006556,4.992290249433107,3.571059512421371,440364,1.0,0.20630090070639562,true,,2026-09-08T09:59:51.172626+00:00
paper_baseline,32,2,10.0,10.0,8.0,1,0.01139370798773598,13.17670308300876,0.004776874993694946,13.192873665990192,9.996190476190476,1.319790143796656,881708,1.0,0.46347546342895707,true,,2026-09-08T10:00:09.040223+00:00
paper_baseline,33,2,3.0,3.0,8.0,10,0.009217792001436464,8.652279375004582,0.0056238749966723844,8.667121042002691,2.995374149659864,2.893501983045048,264236,1.0,0.22018101581119195,true,,2026-09-08T10:00:22.271470+00:00
paper_baseline,34,2,3.0,3.0,8.0,25,0.009851250011706725,13.423669291994884,0.0025417080032639205,13.436062250009854,2.995374149659864,4.485603994257469,264236,1.0,0.1836612316826309,true,,2026-09-08T10:00:30.981674+00:00
paper_baseline,35,2,30.0,30.0,8.0,1,0.01672608300577849,38.25446208300127,0.014208291991963051,38.28539645799901,29.98857142857143,1.2766662309736714,2645036,1.0,0.4763166052686809,true,,2026-09-08T10:00:44.451548+00:00
paper_baseline,36,2,3.0,3.0,8.0,50,0.013651333007146604,23.04173162499501,0.006102291998104192,23.06148525000026,2.995374149659864,7.699033275231736,264236,0.999969482421875,0.17609365046137385,true,,2026-09-08T10:01:22.780874+00:00
paper_baseline,37,2,1.0,1.0,8.0,50,0.015403958997922018,18.042026665993035,0.006812167004682124,18.06424279199564,0.9984580498866213,18.09213996927252,88108,0.955718994140625,0.1590029892057155,true,,2026-09-08T10:01:45.890811+00:00
paper_baseline,38,2,1.0,1.0,8.0,1,0.011257542006205767,3.0660049579892075,0.004225417011184618,3.081487917006598,0.9984580498866213,3.086246755541219,88108,1.0,0.43712819039021017,true,,2026-09-08T10:02:04.000460+00:00
paper_baseline,39,2,30.0,30.0,8.0,25,0.01937295800598804,83.04767129200627,0.01822262498899363,83.08526687500125,29.98857142857143,2.7705643489186773,2645036,1.0,0.22954934192034465,true,,2026-09-08T10:02:07.127862+00:00
paper_baseline,40,2,5.0,5.0,8.0,10,0.013339916011318564,11.221058541996172,0.010737542004790157,11.24513600001228,4.992290249433107,2.2525004433164133,440364,1.0,0.24693836515277148,true,,2026-09-08T10:03:30.258775+00:00
paper_baseline,41,2,20.0,20.0,8.0,1,0.017374791990732774,23.72372858300514,0.011404709002817981,23.75250808399869,19.99238095238095,1.1880780053448279,1763372,1.0,0.45501195220047314,true,,2026-09-08T10:03:41.553575+00:00
paper_baseline,42,2,3.0,3.0,8.0,5,0.012144457999966107,6.547978457994759,0.005692833990906365,6.5658157499856316,2.995374149659864,2.1919851817948035,264236,1.0,0.2499393765588375,true,,2026-09-08T10:04:05.358287+00:00
paper_baseline,43,2,1.0,1.0,8.0,5,0.01635566700133495,4.809548125005676,0.004427833002409898,4.830331625009421,0.9984580498866213,4.8377912577878694,88108,1.0,0.2753630956489218,true,,2026-09-08T10:04:11.981396+00:00
paper_baseline,44,2,3.0,3.0,8.0,1,0.008282916998723522,4.925392916004057,0.004664709005737677,4.938340542008518,2.995374149659864,1.648655658782822,264236,1.0,0.43963761375039273,true,,2026-09-08T10:04:16.863270+00:00
paper_baseline,45,2,20.0,20.0,8.0,50,0.017138791998149827,78.44616470800247,0.011033208997105248,78.47433670899773,19.99238095238095,3.9252121543658354,1763372,1.0,0.20498261386076863,true,,2026-09-08T10:04:21.843350+00:00
paper_baseline,46,2,10.0,10.0,8.0,25,0.01821312498941552,28.7385779160104,0.00579770898912102,28.762588749988936,9.996190476190476,2.87735501024089,881708,1.0,0.2090467525226085,true,,2026-09-08T10:05:40.367824+00:00
